Word,Engine Output,Lexicon Answer,Final Output,Match,Notes
আমি,a - m - i,a - m - i,a - m - i,✅,
তুমি,t - u - m - i,t - u - m - i,t - u - m - i,✅,
সে,sh - e,sh - e,sh - e,✅,
আমরা,a - m - r - a,a - m - r - a,a - m - r - a,✅,
দেবতা,d - e - b - t - a,d - e - b - O - t - a,d - e - b - O - t - a,❌,
তোমরা,t - O - m - r - a,t - O - m - r - a,t - O - m - r - a,✅,
তারা,t - a - r - a,t - a - r - a,t - a - r - a,✅,
ভালো,bh - a - l - O,bh - a - l - O,bh - a - l - O,✅,
খারাপ,kh - a - r - a - p,kh - a - r - a - p,kh - a - r - a - p,✅,
বাংলাদেশ,b - a - ng - l - a - d - e - sh,b - a - ng - l - a - d - e - sh,b - a - ng - l - a - d - e - sh,✅,
ঢাকা,Dh - a - k - a,Dh - a - k - a,Dh - a - k - a,✅,
মানুষ,m - a - n - u - sh,m - a - n - u - sh,m - a - n - u - sh,✅,
পানি,p - a - n - i,p - a - n - i,p - a - n - i,✅,
সময়,sh - o - m - o - y,sh - o - m - o - y,sh - o - m - o - y,✅,
সুন্দর,sh - u - nd - o - r,sh - u - nd - O - r,sh - u - nd - O - r,❌,
সকাল,sh - o - k - a - l,sh - o - k - a - l,sh - o - k - a - l,✅,
সন্তান,sh - o - nt - a - n,sh - o - nt - a - n,sh - o - nt - a - n,✅,
সমাজ,sh - o - m - a - j,sh - o - m - a - j,sh - o - m - a - j,✅,
সবাই,sh - o - b - a - i,sh - o - b - a - i,sh - o - b - a - i,✅,
সাইকেল,sh - a - i - k - e - l,s - a - i - k - e - l,s - a - i - k - e - l,❌,
সিনেমা,sh - i - n - e - m - a,s - i - n - E - m - a,s - i - n - E - m - a,❌,
সালাম,sh - a - l - a - m,s - a - l - a - m,s - a - l - a - m,❌,
সাহেব,sh - a - h - e - b,s - a - h - e - b,s - a - h - e - b,❌,
সিলেট,sh - i - l - e - T,s - i - l - e - T,s - i - l - e - T,❌,
সেলিম,sh - e - l - i - m,s - e - l - i - m,s - e - l - i - m,❌,
সাকলাইন,sh - a - k - l - a - i - n,s - a - k - l - a - i - n,s - a - k - l - a - i - n,❌,
বিজ্ঞান,b - i - g - g - y - a - n,b - i - g - g - y - a - n,b - i - g - g - y - a - n,✅,
ক্ষমা,kkh - o - m - a,kkh - o - m - a,kkh - o - m - a,✅,
জ্ঞান,g - y - a - n,g - y - a - n,g - y - a - n,✅,
সন্ধ্যা,sh - o - n - dh - a,sh - o - n - dh - a,sh - o - n - dh - a,✅,
বিশ্ব,b - i - sh - sh - O,b - i - sh - sh - O,b - i - sh - sh - O,✅,
