line	word	phonemes	old_tag	new_tag	reason
7	এমপিপুত্র	e m p i p u tr O	native	loanword	abbr
9	এমপিসহ	e m p i sh o h O	proper_noun	loanword	abbr
19	এমসি	e m s i	native	loanword	abbr
36	এমেকা	e m e k a	native	proper_noun	rule
37	এমেকাকে	e m e k a k e	native	proper_noun	rule
38	এমেকার	e m e k a r	native	proper_noun	rule
42	এম–ডি	e m D i	native	loanword	abbr
51	এরদোগান	e r d O g a n	native	proper_noun	rule
52	এরদোগানকে	e r d O g a n k e	native	proper_noun	rule
53	এরদোগানের	e r d O g a n e r	native	proper_noun	rule
54	এরদোয়ান	e r d O y a n	native	proper_noun	rule
66	এরিস	e r i s	native	proper_noun	rule
67	এরিসের	e r i s e r	native	proper_noun	rule
68	এরিয়া	e r i y a	native	loanword	rule
69	এরিয়ার	e r i y a r	native	loanword	rule
70	এরিয়ায়	e r i y a y	native	loanword	rule
74	এরেন	e r e n	native	proper_noun	rule
76	এল.এম.এস.	e l e m e s	native	loanword	abbr
77	এলআর	e l a r	native	loanword	abbr
78	এলই	e l i	native	loanword	abbr
79	এলএন	e l e n	native	loanword	abbr
80	এলএম	e l e m	native	loanword	abbr
82	এলকে	e l k e	native	loanword	abbr
85	এলগার	e l g a r	native	proper_noun	rule
87	এলটন	e l T o n	native	proper_noun	rule
88	এলডোরাডো	e l D O r a D O	native	proper_noun	rule
90	এলন	e l o n	native	proper_noun	rule
91	এলপিআরে	e l p i a r e	proper_noun	loanword	abbr
92	এলবারাদি	e l b a r a d i	native	proper_noun	rule
93	এলবারাদির	e l b a r a d i r	native	proper_noun	rule
94	এলবির	e l b i r	native	loanword	abbr
98	এলসবার্গ	e l o s b a r g	native	proper_noun	rule
99	এলসি	e l s i	native	loanword	abbr
100	এলসির	e l s i r	native	loanword	abbr
147	এলার্ট	e l a r T	native	loanword	rule
156	এলিজা	e l i j a	native	proper_noun	rule
157	এলিজাবেথে	e l i j a b e th e	native	proper_noun	rule
158	এলিজাবেথের	e l i j a b e th e r	native	proper_noun	rule
159	এলিট	e l i T	native	loanword	rule
161	এলিন	e l i n	native	proper_noun	rule
162	এলিনা	e l i n a	native	proper_noun	rule
163	এলিনার	e l i n a r	native	proper_noun	rule
164	এলিভেটর	e l i bh e T o r	native	loanword	rule
165	এলিমেন্টস	e l i m e n T o s	native	loanword	rule
167	এলিসন	e l i s o n	native	proper_noun	rule
168	এলিসি	e l i s i	native	proper_noun	rule
169	এলিসের	e l i s e r	native	proper_noun	rule
170	এলিয়ট	e l i y o T	native	proper_noun	rule
171	এলিয়টের	e l i y o T e r o	native	proper_noun	rule
173	এলিয়াস	e l i y a s	native	proper_noun	rule
179	এলেনা	e l e n a	native	proper_noun	rule
185	এলোপ্যাথিক	e l O p A th i k	native	loanword	rule
188	এল্টন	e l T o n	native	proper_noun	rule
197	এশিয়াজুড়ে	e sh i y a j u r e	native	proper_noun	rule
198	এশিয়াটিক	e sh i a T i k	native	loanword	rule
199	এশিয়াটিকের	e sh i y a T i k e r	native	loanword	rule
200	এশিয়াডে	e sh i y a D e	native	proper_noun	rule
201	এশিয়াতেই	e sh i y a t e i	native	proper_noun	rule
202	এশিয়াতেও	e sh i y a t e O	native	proper_noun	rule
203	এশিয়াবিশয়ক	e sh i y a b i sh o y o k	native	proper_noun	rule
204	এশিয়াসহ	e sh i y a sh o h O	native	proper_noun	rule
205	এশিয়ায়	e sh i y a y	native	proper_noun	rule
209	এসই	e s i	native	loanword	abbr
