# 3000 candidates (of 97661 native,tatsama,deshi,tadbhava-tagged words scanned), sorted by loanword-likelihood
# score	word	phoneme	tag	trigger_window
3.0940	মহারাষ্ট্রের	m o h a r a s T r e r	tatsama	sTr
3.0940	রাষ্ট্রগুলোর	r a s T r O g u l O r	tatsama	sTr
3.0940	রাষ্ট্রদ্রোহের	r a s T r O d r O h e r	tatsama	sTr
3.0940	রাষ্ট্রপে	r a s T r O p e	tatsama	sTr
3.0940	ষ্ট্রীটে	s T r i T e	tatsama	sTr
2.8739	অবস্থাদৃষ্টে	o b O s th a d r i s T e	tatsama	sTe
2.8739	যিশুখ্রিষ্টের	j i sh u kh r i s T e r	tatsama	sTe
2.4431	ভিসিডি	bh i s i D i	native	siD
2.4376	স্টলগুলোতে	s T o l g u l O t e	native	sTo
2.4281	কার্ডসহ	k a r D sh o h O	native	rDs
2.4105	এসটি	e s T i	native	esT
2.4105	নেকলেসটা	n e k l e s T a	native	esT
2.4105	পিএসটিসি	p i e s T i s i	native	esT
2.1926	পাসওয়ার্ডটি	p a s O y a r D T i	native	rDT
2.1909	অনুষ্টানে	O n u s T a n e	tatsama	sTa
2.1909	অষ্টাদশী	o s T a d O sh i	tatsama	sTa
2.1909	খ্রিষ্টানরা	kh r i s T a n r a	tatsama	sTa
2.1909	খ্রিষ্টাব্দ	kh r i s T a b d O	tatsama	sTa
2.1909	খৃস্টাব্দের	kh r i s T a b d e r	tatsama	sTa
2.1909	পাসটা	p a s T a	native	sTa
2.1334	অফিসটি	o ph i s T i	native	sTi
2.1334	গ্যাসটি	g A s T i	native	sTi
2.1334	বাসটি	b a s T i	native	sTi
2.1334	বাসটিকে	b a s T i k e	native	sTi
2.1306	নেটওয়ার্কসের	n e T o O y a r k s e r	native	kse
2.0030	গেডমি	g e D m i	native	eDm
1.9968	ট্যা	T A	native	TA
1.9724	অবশিষ্ট	o b O sh i s T O	tatsama	sTO
1.9724	খ্রিস্টধর্মের	kh r i s T O dh o r m e r	native	sTO
1.9724	খ্রিস্টপূর্বাব্দে	kh r i s T O p u r b a b d e	native	sTO
1.9516	থাকসিনপন্থি	th a k s i n p o n th i	native	ksi
1.9274	কানসাট	k a n s a T	native	nsa
1.9169	নেশনসের	n e sh o n s e r	native	nse
1.9169	পাবলিকেশনসের	p a b l i k e sh o n s e r	native	nse
1.9169	ফ্যাশনসে	ph A sh o n s e	native	nse
1.9169	ফ্যাশনসের	ph A sh O n s e r	native	nse
1.8948	কেডস	k e D sh	native	eDs
1.8948	লিয়েডসন	l i y e D sh o n	native	eDs
1.8679	প্রতিষ্ঠাতা	p r O t i s Th a t a	tatsama	isT
1.8679	বুদ্ধিস্ট	b u d dh i s T	tatsama	isT
