line	word	old_phonemes	new_phonemes	tag
19	এমসি	e m sh i	e m s i	native
41	এম্বেসি	e mb e sh i	e mb e s i	native
76	এল.এম.এস.	e l e m e sh	e l e m e s	native
98	এলসবার্গ	e l o sh b a r g	e l o s b a r g	native
99	এলসি	e l sh i	e l s i	native
100	এলসির	e l sh i r	e l s i r	native
165	এলিমেন্টস	e l i m e n T o sh	e l i m e n T o s	native
167	এলিসন	e l i sh o n	e l i s o n	native
168	এলিসি	e l i sh i	e l i s i	native
169	এলিসের	e l i sh e r	e l i s e r	native
173	এলিয়াস	e l i y a sh	e l i y a s	native
209	এসই	e sh i	e s i	native
210	এসএ	e sh e	e s e	native
211	এসএন	e sh e n	e s e n	native
212	এসএম	e sh e m	e s e m	native
213	এসএস	e sh e sh	e s e s	native
214	এসও	e sh O	e s O	native
217	এসকাপ	e sh k a p	e s k a p	native
218	এসকাপের	e sh k a p e r	e s k a p e r	native
219	এসকাবেটর	e sh k a b e T o r	e s k a b e T o r	native
220	এসকে	e sh k e	e s k e	native
222	এসকোবার	e sh k O b a r	e s k O b a r	native
223	এসকোয়্যার	e sh k O y A r	e s k O y A r	native
225	এসজি	e sh j i	e s j i	native
226	এসজে	e sh j e	e s j e	native
227	এসটু	e sh T u	e s T u	native
228	এসতিবালিস	e sh t i b a l i sh	e s t i b a l i s	native
229	এসতেখারা	e sh t e kh a r a	e s t e kh a r a	native
230	এসপানা	e sh p a n a	e s p a n a	native
231	এসপানিওলকে	e sh p a n i O l k e	e s p a n i O l k e	native
232	এসপানিওলের	e sh p a n i O l e r	e s p a n i O l e r	native
233	এসপি	e sh p i	e s p i	native
234	এসপির	e sh p i r	e s p i r	native
235	এসপিসহ	e sh p i sh o h O	e s p i sh o h O	proper_noun
236	এসপ্যানিওলের	e sh p A n i O l e r	e s p A n i O l e r	native
237	এসপ্রেসো	e sh pr e sh O	e s pr e s O	native
238	এসফল্ট	e sh ph o l T	e s ph o l T	native
242	এসবি	e sh b i	e s b i	native
243	এসবির	e sh b i r	e s b i r	native
252	এসলাম	e sh l a m	e s l a m	native
253	এসসি	e sh sh i	e s s i	native
254	এসার	e sh a r	e s a r	native
255	এসারের	e sh a r e r	e s a r e r	native
256	এসি	e sh i	e s i	native
257	এসিআই	e sh i a i	e s i a i	native
258	এসিআইয়ের	e sh i a i y e r	e s i a i y e r	native
259	এসিআর	e sh i a r	e s i a r	native
260	এসিএম	e sh i e m	e s i e m	native
261	এসিএস	e sh i e sh	e s i e s	native
262	এসিও	e sh i O	e s i O	native
263	এসিডদগ্ধ	e sh i D d o g dh	e s i D d o g dh	native
264	এসিডদগ্ধদের	e sh i D d o g dh d e r	e s i D d o g dh d e r	native
265	এসিডি	e sh i D i	e s i D i	native
266	এসিডিক	e sh i D i k	e s i D i k	native
268	এসিতে	e sh i t e	e s i t e	native
269	এসিপিইউপিবির	e sh i p i i u p i b i r	e s i p i i u p i b i r	native
270	এসিপিইউবি	e sh i p i i u b i	e s i p i i u b i	native
271	এসিপিইউবির	e sh i p i i u b i r	e s i p i i u b i r	native
272	এসিভি	e sh i bh i	e s i bh i	native
273	এসির	e sh i r	e s i r	native
274	এসিল্যান্ড	e sh i l A n D	e s i l A n D	native
275	এসিস	e sh i sh	e s i s	native
276	এসিসি	e sh i sh i	e s i s i	native
277	এসিসিএ	e sh i sh i e	e s i s i e	native
278	এসিসিএর	e sh i sh i e r	e s i s i e r	native
279	এসিসির	e sh i sh i r	e s i s i r	native
280	এসিয়েন	e sh i y e n	e s i y e n	native
281	এসিয়েনকে	e sh i y e n k e	e s i y e n k e	native
298	এসোচেম	e sh O ch e m	e s O ch e m	native
300	এস্তুদিয়ান্তেস	e st o d i y a nt e sh	e st o d i y a nt e s	compound
301	এস্তুদিয়ান্তেসের	e st o d i y a nt e sh e r	e st o d i y a nt e s e r	compound
383	এয়ারলাইনস	e a r l a i n sh	e a r l a i n s	native
384	এয়ারলাইনসকে	e y a r l a i n o sh k e	e y a r l a i n o s k e	native
385	এয়ারলাইনসগুলো	e y a r l a i n o sh g u l O	e y a r l a i n o s g u l O	compound
386	এয়ারলাইনসগুলোর	e y a r l a i n o sh g u l O r	e y a r l a i n o s g u l O r	compound
387	এয়ারলাইনসে	e y a r l a i n o sh e	e y a r l a i n o s e	native
388	এয়ারলাইনসের	e y a r l a i n o sh e r	e y a r l a i n o s e r	native
394	ওংকার	O sh k a r	O ng k a r	native
503	ওইস্লামিক	O i sh l a m i k	O i s l a m i k	native
595	ওএমএসসহ	O e m e sh sh o h O	O e m e s sh o h O	proper_noun
600	ওএস	O e sh	O e s	native
605	ওএসের	O e sh e r	O e s e r	native
609	ওকস	O k sh	O k s	native
695	ওটস	O T sh	O T s	native
841	ওবামাস	O b a m a sh	O b a m a s	native
860	ওবেসিটি	O b e sh i T i	O b e s i T i	native
875	ওভারপাস	O bh a r p a sh	O bh a r p a s	native
876	ওভারপাসের	O bh a r p a sh e r	O bh a r p a s e r	native
882	ওভারসাইট	O bh a r sh a i T	O bh a r s a i T	native
